DATE,CPIHOSNS
2006-01-01,200.000
2006-02-01,200.500
2006-03-01,201.300
2006-04-01,201.700
2006-05-01,202.200
2006-06-01,203.700
2006-07-01,204.700
2006-08-01,205.100
2006-09-01,205.000
2006-10-01,204.400
2006-11-01,204.500
2006-12-01,204.800
2007-01-01,206.057
2007-02-01,207.177
2007-03-01,208.080
2007-04-01,208.541
2007-05-01,208.902
2007-06-01,210.649
2007-07-01,211.286
2007-08-01,211.098
2007-09-01,210.865
2007-10-01,210.701
2007-11-01,210.745
2007-12-01,210.933
2008-01-01,212.244
2008-02-01,213.026
2008-03-01,214.389
2008-04-01,214.890
2008-05-01,215.809
2008-06-01,217.941
2008-07-01,219.610
2008-08-01,219.148
2008-09-01,218.184
2008-10-01,217.383
2008-11-01,216.467
2008-12-01,216.073
2009-01-01,216.928
2009-02-01,217.180
2009-03-01,217.374
2009-04-01,217.126
2009-05-01,216.971
2009-06-01,218.071
2009-07-01,218.085
2009-08-01,217.827
2009-09-01,217.178
2009-10-01,216.612
2009-11-01,215.808
2009-12-01,215.523
2010-01-01,215.925
2010-02-01,215.841
2010-03-01,216.023
2010-04-01,215.798
2010-05-01,215.981
2010-06-01,216.778
2010-07-01,217.076
2010-08-01,216.976
2010-09-01,216.602
2010-10-01,216.100
2010-11-01,215.830
2010-12-01,216.142
